Date,Price,Open,High,Low,Vol.,Change %
06/09/2025,497.93,509.48,509.48,485.53,1.01M,-2.93%
06/06/2025,512.95,524.8,540.3,510.88,929.67K,-1.92%
06/05/2025,522.99,530.18,531.87,518,741.30K,0.81%
06/04/2025,518.79,515,523.33,510.67,638.14K,1.06%
06/03/2025,513.37,529.57,534.5,512,691.49K,-2.56%
06/02/2025,526.85,519.76,528.07,513.21,680.51K,1.39%
05/30/2025,519.61,506.76,521.61,496.26,1.14M,1.21%
05/29/2025,513.39,530.47,531.69,512.54,619.81K,-2.10%
05/28/2025,524.4,524.42,530,521.31,432.69K,-0.11%
05/27/2025,525,528.02,529.77,512.1,524.39K,0.92%
05/23/2025,520.21,512.31,524.41,510,459.66K,0.47%
05/22/2025,517.8,511.11,526.3,510.98,537.92K,0.68%
05/21/2025,514.3,522.77,531.94,510.72,841.09K,-2.17%
05/20/2025,525.73,517.58,526.92,514.04,764.50K,1.06%
05/19/2025,520.23,517.79,531.02,515.2,733.41K,-1.67%
05/16/2025,529.05,525,536,522.26,698.17K,-0.28%
05/15/2025,530.52,536,541.46,527,751.99K,-1.88%
05/14/2025,540.68,536.15,544.93,532.56,841.44K,1.73%
05/13/2025,531.46,519.36,536.87,514.8,823.87K,2.63%
05/12/2025,517.83,532.72,533.26,503,949.63K,0.99%
05/09/2025,512.75,505,513.87,500.26,604.43K,1.82%
05/08/2025,503.57,505.07,509.01,492.75,744.74K,1.62%
05/07/2025,495.56,491.31,504.5,491.06,1.05M,1.02%
05/06/2025,490.55,480.65,493.63,473.52,1.49M,-0.72%
05/05/2025,494.13,480.66,504.31,475.53,1.87M,1.59%
05/02/2025,486.42,436.92,487,433,3.05M,21.61%
05/01/2025,400,396.18,406,390,1.43M,2.70%
04/30/2025,389.48,371.31,390.41,371.31,967.24K,1.13%
04/29/2025,385.13,383.21,396.86,372.68,1.41M,0.21%
04/28/2025,384.34,383.79,389.95,374.35,614.94K,0.66%
04/25/2025,381.83,377.68,386.37,362.9,1.13M,1.82%
04/24/2025,375.02,370,381.18,366.98,620.72K,1.36%
04/23/2025,370,364.45,378.52,362.14,1.10M,10.01%
04/22/2025,336.34,322.5,337.8,321.88,592.17K,6.41%
04/21/2025,316.07,324.79,326.3,308.57,506.88K,-3.19%
04/17/2025,326.5,329.27,332.91,320.54,523.59K,0.03%
04/16/2025,326.4,320.53,332.73,318,569.78K,0.38%
04/15/2025,325.17,327.21,331.82,324.01,437.36K,-0.46%
04/14/2025,326.67,338.94,340.14,318.89,612.85K,-0.81%
04/11/2025,329.35,316.94,333.75,316,866.88K,3.92%
04/10/2025,316.94,324.04,329.7,309.42,653.65K,-6.06%
04/09/2025,337.4,296.3,338.95,289.31,1.30M,15.05%
04/08/2025,293.27,317.81,319.95,288.77,922.33K,-1.09%
04/07/2025,296.51,285.31,319.12,274.97,1.48M,1.24%
04/04/2025,292.88,295.03,300,275,1.60M,-6.70%
04/03/2025,313.9,315.55,318,302.01,946.11K,-7.01%
04/02/2025,337.56,318.56,342.28,317.52,545.05K,3.11%
04/01/2025,327.38,310.86,328.27,307,668.05K,5.42%
03/31/2025,310.54,307.53,317.35,298.7,778.45K,-1.42%
03/28/2025,315,330.23,330.23,307.4,888.54K,-5.39%
03/27/2025,332.94,330.63,340.36,324.2,695.74K,0.52%
03/26/2025,331.22,340,341.75,323.43,1.10M,-2.73%
03/25/2025,340.5,333.15,341.09,327.79,639.84K,3.18%
03/24/2025,330,319.16,331.73,315.26,1.03M,6.69%
03/21/2025,309.3,300.7,312,294.82,869.21K,1.02%
03/20/2025,306.17,296.65,314.82,293.29,606.83K,1.68%
03/19/2025,301.12,289.94,304.62,287.14,673.46K,4.26%
03/18/2025,288.81,294.91,304.66,283.87,650.13K,-1.83%
03/17/2025,294.18,286.79,301.86,285,919.39K,3.75%
03/14/2025,283.54,280.5,286.74,280.1,809.14K,4.06%
03/13/2025,272.49,288.62,288.9,269.77,1.04M,-6.37%
03/12/2025,291.02,294.66,295.5,280.22,957.54K,5.86%
03/11/2025,274.91,277.45,282.22,269.45,1.05M,-0.82%
03/10/2025,277.18,286.55,289,263.68,1.71M,-6.22%
03/07/2025,295.56,271.45,296.9,268.03,1.59M,8.36%
03/06/2025,272.77,282.8,286.68,268.11,1.05M,-6.82%
03/05/2025,292.74,293.11,295.85,284.99,840.49K,-0.48%
03/04/2025,294.15,288.87,301.96,276.67,1.29M,-0.37%
03/03/2025,295.23,312.33,324.25,291.77,1.95M,-5.40%
02/28/2025,312.07,325.06,329.61,303.68,3.46M,-16.95%
02/27/2025,375.78,391.32,412.88,372.84,1.50M,-2.79%
02/26/2025,386.56,388.75,400.91,383.78,858.26K,0.19%
02/25/2025,385.81,382.95,389.74,370.19,683.76K,-1.05%
02/24/2025,389.9,390.26,397.3,372.01,1.24M,1.18%
02/21/2025,385.35,418.92,420.48,383.43,1.08M,-8.64%
02/20/2025,421.78,430.43,430.95,415.99,946.12K,-2.48%
02/19/2025,432.52,439.43,440.71,429.2,822.13K,-2.01%
02/18/2025,441.39,435,441.77,426.4,666.31K,2.01%
02/14/2025,432.69,432,436.98,417.74,724.31K,0.55%
02/13/2025,430.32,400.98,431.37,399.14,1.51M,8.09%
02/12/2025,398.11,377.7,399.73,373.3,1.18M,3.77%
02/11/2025,383.66,399,399.98,381.24,574.43K,-4.43%
02/10/2025,401.45,398.08,403.63,394,487.01K,1.94%
02/07/2025,393.8,394.81,400.2,391.76,717.37K,1.14%
02/06/2025,389.36,390,392.71,380.17,394.79K,-0.67%
02/05/2025,392,389.41,411.69,385.93,748.70K,1.51%
02/04/2025,386.16,367.59,387.88,366.74,781.41K,5.96%
02/03/2025,364.44,354.96,365.84,352,577.57K,0.12%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
